date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:25	8476/8476	---M--	200	added ('OK')	image/gif	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/pro/startup/lib/lightbox/images/loading.gif	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/lib/lightbox/images/loading.gif	(from https://demo.htmlcodex.com/pro/startup/lib/lightbox/css/lightbox.min.css)
09:29:27	152395/152395	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:43:12%20GMT	https://demo.htmlcodex.com/pro/startup/img/hero-header.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/hero-header.jpg	(from https://demo.htmlcodex.com/pro/startup/css/style.css)
09:29:28	60310/60310	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2023:51:50%20GMT	https://demo.htmlcodex.com/pro/startup/img/detail.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/detail.jpg	(from https://demo.htmlcodex.com/pro/startup/service-detail.html)
09:29:29	39210/39210	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:06%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-1.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-1.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:30	35285/35285	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:36%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-2.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-2.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:31	56241/56241	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:30%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-3.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-3.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:33	40742/40742	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:26%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-4.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-4.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:34	35165/35165	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:20%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-5.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-5.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:35	41822/41822	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:16%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-6.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/portfolio-6.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:29:36	2899/2899	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Jul%202021%2017:20:48%20GMT	https://demo.htmlcodex.com/pro/startup/img/user.jpg	C:/Users/user/Downloads/pentagon%20update/demo.htmlcodex.com/pro/startup/img/user.jpg	(from https://demo.htmlcodex.com/pro/startup/blog-detail.html)
